Oman	OMN	2011	37745.453	3206883	1.0602238	76.6	
Oman	OMN	2012	37270.586	3535585	1.1030726	77.1	
Oman	OMN	2013	36330.48	3816688	2.5414758	77.2	
Oman	OMN	2014	35032.258	4009272	0.29930654	77.4	6.853
Oman	OMN	2015	35188.023	4191784	0.38169974	77.7	
Oman	OMN	2016	35229.953	4398080	0.36379594	77.9	
Oman	OMN	2017	34218.387	4541853	0.3742965	77.9	
Oman	OMN	2018	34212.105	4601160	0.28253767	78	
Oman	OMN	2019	33814.113	4602769	0.49969932	78	
Oman	OMN	2020	33098.21	4543406	0.30813938	74.8	
Oman	OMN	2021	34294.766	4520474	0.24333748	72.5	
