Entity	Code	Year	"GDP per capita, PPP (constant 2017 international $)"	Population (historical estimates)
Ecuador	ECU	1991	8281.087	10686277
Ecuador	ECU	1992	8279.568	10914222
Ecuador	ECU	1993	8277.154	11132833
Ecuador	ECU	1994	8466.249	11347655
Ecuador	ECU	1995	8496.696	11561683
Ecuador	ECU	1996	8487.086	11775223
Ecuador	ECU	1997	8697.354	11987840
Ecuador	ECU	1998	8825.487	12199692
Ecuador	ECU	1999	8263.377	12412056
Ecuador	ECU	2000	8211.711	12626511
Ecuador	ECU	2001	8395.833	12845523
Ecuador	ECU	2002	8589.284	13070617
Ecuador	ECU	2007	9836.419	14251838
Ecuador	ECU	2008	10284.954	14496800
Ecuador	ECU	2009	10170.651	14742768
Ecuador	ECU	2010	10355.822	14989581
Ecuador	ECU	2012	11424.152	15483884
Ecuador	ECU	2013	11806.924	15722988
Egypt	EGY	1990	5971.7764	57214632
Egypt	EGY	1991	5895.105	58611032
Egypt	EGY	1992	6017.3013	59989148
Egypt	EGY	1993	6051.3276	61382204
Egypt	EGY	1994	6152.0776	62775844
Egypt	EGY	2003	7676.936	75963328
Egypt	EGY	2004	7830.368	77522424
Egypt	EGY	2005	8019.8726	79075312
Egypt	EGY	2006	8403.554	80629664
Egypt	EGY	2007	8825.251	82218760
Egypt	EGY	2008	9273.412	83844784
Egypt	EGY	2009	9518.779	85501064
Egypt	EGY	2010	9807.836	87252416
Egypt	EGY	2012	9757.137	91240384
El Salvador	SLV	1994	5890.098	5693040
El Salvador	SLV	1995	6109.746	5748201
El Salvador	SLV	1996	6107.3213	5797142
El Salvador	SLV	1997	6249.916	5842637
El Salvador	SLV	1998	6369.409	5885085
El Salvador	SLV	1999	6464.5317	5923862
El Salvador	SLV	2000	6499.4507	5958482
El Salvador	SLV	2001	6524.1963	5988102
El Salvador	SLV	2002	6601.263	6011278
El Salvador	SLV	2003	6687.2734	6026854
El Salvador	SLV	2004	6736.9067	6035653
El Salvador	SLV	2005	6916.694	6037817
El Salvador	SLV	2006	7221.4995	6034439
El Salvador	SLV	2007	7343.9106	6044130
El Salvador	SLV	2008	7470.7515	6068108
El Salvador	SLV	2009	7287.176	6091181
El Salvador	SLV	2010	7412.978	6114039
El Salvador	SLV	2012	7851.7017	6161293
El Salvador	SLV	2013	7995.633	6185641
Eritrea	ERI	2012		3252600
Estonia	EST	1995	12730.718	1452777
Estonia	EST	1996	13558.568	1434670
Estonia	EST	1997	15503.845	1421491
Estonia	EST	1998	16332.82	1411151
Estonia	EST	1999	16215.579	1403494
Estonia	EST	2000	17765.207	1396881
Estonia	EST	2001	18952.107	1388000
Estonia	EST	2002	20364.008	1379241
Estonia	EST	2007	31140.58	1340576
Estonia	EST	2008	29621.764	1337013
Estonia	EST	2009	25337.176	1334557
Estonia	EST	2010	26015.746	1331535
Estonia	EST	2012	28997.322	1322682
Estonia	EST	2013	29525.12	1317985
Estonia	EST	1990		1570676
Estonia	EST	1991		1565621
Estonia	EST	1992		1540386
Estonia	EST	1993		1504446
Estonia	EST	1994		1475730
Eswatini	SWZ	1990	4909.266	854020
Eswatini	SWZ	1991	4795.2285	889719
Eswatini	SWZ	1992	4760.2476	925170
Eswatini	SWZ	1993	4762.4976	953454
Eswatini	SWZ	1994	4875.368	953745
Eswatini	SWZ	1998	5326.936	1005162
Eswatini	SWZ	1999	5412.978	1018383
Eswatini	SWZ	2000	5443.4395	1030504
Eswatini	SWZ	2001	5443.279	1041400
Eswatini	SWZ	2002	5630.804	1050818
Eswatini	SWZ	2003	5805.1616	1058808
Eswatini	SWZ	2004	5976.212	1065776
Eswatini	SWZ	2005	6298.5312	1071895
Eswatini	SWZ	2006	6639.7183	1077747
Eswatini	SWZ	2007	6894.0874	1084015
Eswatini	SWZ	2008	6913.3486	1089885
Eswatini	SWZ	2009	6989.378	1094890
Eswatini	SWZ	2010	7221.336	1099926
Eswatini	SWZ	2011	7347.2046	1105379
Eswatini	SWZ	2012	7701.394	1111453
Eswatini	SWZ	2013	7949.588	1118329
Eswatini	SWZ	2015	8088.7344	1133941
Eswatini	SWZ	2016	8113.2397	1142529
Eswatini	SWZ	2017	8213.921	1151397
Ethiopia	ETH	2012	1411.136	94451280
Fiji	FJI	1990	7889.8784	780437
Fiji	FJI	1991	7633.7935	784838
Fiji	FJI	1992	8078.5903	786860
Fiji	FJI	1993	8226.214	789209
Fiji	FJI	1994	8628.203	790811
Fiji	FJI	1995	8827.8	792247
Fiji	FJI	1996	9201.685	796542
Fiji	FJI	1997	8909.386	804575
Fiji	FJI	2003	9619.746	858306
Fiji	FJI	2004	10031.558	866699
Fiji	FJI	2005	10006.767	874929
Fiji	FJI	2006	10097.962	883096
Fiji	FJI	2007	9927.022	890655
Fiji	FJI	2008	9961.513	896728
Fiji	FJI	2009	9772.743	901390
Fiji	FJI	2010	10019.412	905176
Fiji	FJI	2011	10254.358	908359
Fiji	FJI	2012	10368.216	911067
Fiji	FJI	2013	10830.61	913467
Fiji	FJI	2014	11411.184	915576
Fiji	FJI	2020	10966.925	920430
Finland	FIN	1990	32939.383	4986551
Finland	FIN	1991	30831.61	5013856
Finland	FIN	1992	29648.744	5042120
Finland	FIN	1993	29310.307	5066609
Finland	FIN	1994	30340.824	5088491
Finland	FIN	1995	31499.807	5107942
Finland	FIN	1996	32548.016	5124717
Finland	FIN	1997	34506.773	5139944
Finland	FIN	1998	36293.39	5153548
Finland	FIN	1999	37795.06	5165500
Finland	FIN	2000	39894.195	5176208
Finland	FIN	2001	40842.34	5188007
Finland	FIN	2002	41439.02	5200588
Finland	FIN	2003	42168.695	5212991
Finland	FIN	2004	43724.965	5228143
Finland	FIN	2005	44786.91	5246070
Finland	FIN	2006	46412.2	5266249
Finland	FIN	2007	48664.266	5288694
Finland	FIN	2008	48817.99	5313358
Finland	FIN	2009	44662.1	5338813
Finland	FIN	2010	45874.66	5363279
Finland	FIN	2012	45952.246	5413865
Finland	FIN	2013	45328.574	5438873
France	FRA	1990	33843.02	56412896
France	FRA	1991	33898.234	56645216
France	FRA	1992	34269.285	56864048
France	FRA	1993	33906.223	57053728
France	FRA	1994	34576.32	57230064
France	FRA	1995	35176.62	57420356
France	FRA	1996	35546.582	57623180
France	FRA	1997	36247.605	57839364
France	FRA	1998	37409.395	58080344
France	FRA	1999	38490.04	58352208
France	FRA	2000	39726.49	58665456
France	FRA	2001	40220.1	59014776
France	FRA	2002	40381.46	59372784
France	FRA	2003	40425.637	59728260
France	FRA	2004	41265.125	60108436
France	FRA	2005	41638.03	60510080
France	FRA	2006	42362.984	60919152
France	FRA	2007	43123.5	61329380
France	FRA	2008	42993.06	61721004
France	FRA	2009	41544.023	62093300
France	FRA	2010	42145.684	62444568
France	FRA	2012	42789.05	63071412
France	FRA	2013	42813.934	63335180
French Guiana	GUF	2004		193709
French Guiana	GUF	2005		201271
French Guiana	GUF	2006		207885
French Guiana	GUF	2007		213318
French Guiana	GUF	2008		218525
French Guiana	GUF	2009		223531
French Guiana	GUF	2018		276659
French Guiana	GUF	2019		284088
French Guiana	GUF	2020		290978
French Polynesia	PYF	2006		274908
French Polynesia	PYF	2007		278188
French Polynesia	PYF	2008		280566
French Polynesia	PYF	2009		282292
Georgia	GEO	1990	11135.463	5391635
Georgia	GEO	1991	8724.29	5322103
Georgia	GEO	1992	4769.9966	5239325
Georgia	GEO	1993	3346.568	5127512
Georgia	GEO	1994	3045.0425	4997912
Georgia	GEO	1995	3243.8462	4877682
Georgia	GEO	1996	3740.4854	4761277
Georgia	GEO	1997	4268.6953	4640033
Georgia	GEO	1998	4511.489	4518407
Georgia	GEO	1999	4737.4053	4394505
Georgia	GEO	2000	4919.232	4265175
Georgia	GEO	2001	5236.2227	4144485
Georgia	GEO	2002	5572.622	4061127
Georgia	GEO	2004	6632.8145	3988861
Georgia	GEO	2005	7315.198	3961183
Georgia	GEO	2006	8049.9062	3933866
Georgia	GEO	2007	9109.897	3906476
Georgia	GEO	2008	9358.614	3879701
Georgia	GEO	2009	9097.421	3855203
Georgia	GEO	2010	9736.732	3836834
Germany	DEU	1990	36699.48	79370192
Germany	DEU	1991	38294.156	79801984
Germany	DEU	1992	38734.938	80205024
Germany	DEU	1993	38105.23	80573496
Germany	DEU	1994	38881.57	80882120
Germany	DEU	1995	39366.09	81123264
Germany	DEU	1996	39568.6	81300864
Germany	DEU	1997	40218.848	81436096
Germany	DEU	1998	41022.613	81524384
Germany	DEU	1999	41769.812	81556968
Germany	DEU	2000	42928.18	81551680
Germany	DEU	2001	43576.637	81514568
Germany	DEU	2002	43417.31	81443424
Germany	DEU	2003	43089.473	81346808
Germany	DEU	2004	43605.277	81266672
Germany	DEU	2005	43949.29	81212168
Germany	DEU	2006	45678.082	81177816
Germany	DEU	2007	47100.61	81183832
Germany	DEU	2008	47643.223	81217488
Germany	DEU	2009	45044.49	81260624
Germany	DEU	2010	46999.24	81325088
Germany	DEU	2012	49872.45	81545568
Germany	DEU	2013	49954.17	81680592
Ghana	GHA	2001	2787.1257	20195584
Ghana	GHA	2002	2833.5884	20758324
Ghana	GHA	2003	2901.108	21329520
Ghana	GHA	2004	2982.8875	21906448
Ghana	GHA	2005	3075.9626	22496952
Ghana	GHA	2006	3187.5764	23098590
Ghana	GHA	2007	3240.5925	23708328
Ghana	GHA	2008	3447.2747	24326092
Ghana	GHA	2009	3523.7893	24950768
Ghana	GHA	2010	3709.3958	25574722
Ghana	GHA	2012	4402.546	26858760
Ghana	GHA	2013	4610.028	27525586
Gibraltar	GIB	2009		30844
Gibraltar	GIB	2010		31289
Greece	GRC	1990	24262.842	10302255
Greece	GRC	1991	24716.518	10391552
Greece	GRC	1992	24700.13	10478389
Greece	GRC	1993	24162.371	10563442
Greece	GRC	1994	24522.525	10647420
Greece	GRC	1995	24920.729	10727928
Greece	GRC	1996	25521.28	10803809
Greece	GRC	1997	26534.494	10875274
Greece	GRC	1998	27415.625	10939474
Greece	GRC	1999	28149.844	10993861
Greece	GRC	2001	30180.227	11072182
Greece	GRC	2002	31249.396	11096620
Greece	GRC	2004	34564.91	11115089
Greece	GRC	2005	34670.184	11113450
Greece	GRC	2006	36520.047	11106097
Greece	GRC	2007	37619.66	11091491
Greece	GRC	2008	37394.17	11073621
Greece	GRC	2009	35691.945	11055503
Greece	GRC	2010	33693.21	11033784
Greece	GRC	2012	28322.572	10963633
Greece	GRC	2013	27810.912	10914501
Greenland	GRL	1992		55704
Greenland	GRL	1993		55729
Greenland	GRL	1994		55719
Greenland	GRL	1995		55807
Greenland	GRL	1996		55978
Greenland	GRL	1997		56092
Greenland	GRL	1998		56146
Greenland	GRL	1999		56129
Greenland	GRL	2000		56204
Greenland	GRL	2001		56401
Greenland	GRL	2002		56591
Greenland	GRL	2003		56748
Greenland	GRL	2004		56888
Greenland	GRL	2005		56909
Greenland	GRL	2006		56835
Greenland	GRL	2007		56728
Greenland	GRL	2008		56600
Greenland	GRL	2009		56461
Greenland	GRL	2010		56374
Greenland	GRL	2011		56310
Greenland	GRL	2012		56217
Greenland	GRL	2013		56116
Greenland	GRL	2014		55972
Greenland	GRL	2015		55916
Greenland	GRL	2016		55941
Grenada	GRD	2000	11116.611	107442
Grenada	GRD	2001	10840.765	107945
Grenada	GRD	2002	11182.833	108246
Grenada	GRD	2003	12183.874	108750
Grenada	GRD	2004	12019.217	109529
Grenada	GRD	2005	13523.777	110268
Grenada	GRD	2006	12897.595	111006
Grenada	GRD	2007	13597.083	111740
Grenada	GRD	2008	13634.03	112497
Grenada	GRD	2009	12645.691	113260
Grenada	GRD	2010	12493.885	114058
Grenada	GRD	2011	12493.164	114933
Grenada	GRD	2012	12242.953	115930
Grenada	GRD	2013	12420.148	116954
Grenada	GRD	2014	13215.913	117986
Grenada	GRD	2015	13948.467	118994
Grenada	GRD	2016	14351.286	119973
Grenada	GRD	2017	14869.982	120934
Grenada	GRD	2018	15401.727	121853
Grenada	GRD	2019	15393.791	122737
Grenada	GRD	2020	13175.423	123672
Grenada	GRD	2021	13688.256	124624
Guadeloupe	GLP	2004		408632
Guadeloupe	GLP	2005		403244
Guadeloupe	GLP	2006		400934
Guadeloupe	GLP	2007		401620
Guadeloupe	GLP	2008		402099
Guadeloupe	GLP	2009		402688
Guadeloupe	GLP	2011		403153
Guadeloupe	GLP	2012		402988
Guadeloupe	GLP	2013		402351
Guadeloupe	GLP	2014		400856
Guadeloupe	GLP	2015		399094
Guadeloupe	GLP	2016		397861
Guam	GUM	2000		160209
Guam	GUM	2001		161542
Guam	GUM	2002		162581
Guam	GUM	2003		163405
Guam	GUM	2004		164022
Guam	GUM	2005		164448
Guam	GUM	2006		164689
Guam	GUM	2007		164775
Guam	GUM	2008		164736
Guam	GUM	2009		164593
Guam	GUM	2010		164916
Guam	GUM	2011		165662
Guam	GUM	2019		168632
Guatemala	GTM	1992	5730.646	9576630
Guatemala	GTM	1993	5805.7095	9831871
Guatemala	GTM	1994	5891.3276	10094917
Guatemala	GTM	1995	6033.0425	10363096
Guatemala	GTM	1996	6064.021	10632295
Guatemala	GTM	1997	6181.1724	10905387
Guatemala	GTM	1998	6338.338	11184035
Guatemala	GTM	1999	6428.048	11463503
Guatemala	GTM	2000	6499.8833	11735893
Guatemala	GTM	2001	6493.6064	12009197
Guatemala	GTM	2002	6589.7373	12289867
Guatemala	GTM	2003	6612.67	12570507
Guatemala	GTM	2004	6676.7046	12852433
Guatemala	GTM	2005	6753.6826	13132818
Guatemala	GTM	2006	6972.382	13412401
Guatemala	GTM	2007	7269.206	13696609
Guatemala	GTM	2008	7365.2803	13979451
Guatemala	GTM	2009	7262.5	14259415
Guatemala	GTM	2010	7335.989	14543126
Guatemala	GTM	2012	7590.7554	15128307
Guatemala	GTM	2013	7734.1177	15422663
Guinea-Bissau	GNB	2016	1811.301	1834554
Guinea-Bissau	GNB	2017	1872.3093	1879835
Guyana	GUY	1990	4818.388	747124
Guyana	GUY	1991	5131.02	744102
Guyana	GUY	1992	5522.385	744999
Guyana	GUY	1993	5956.328	747196
Guyana	GUY	1994	6444.2188	749553
Guyana	GUY	1995	6749.16	751702
Guyana	GUY	1996	7267.894	753577
Guyana	GUY	1997	7700.34	755215
Guyana	GUY	1998	7556.1753	756705
Guyana	GUY	1999	7766.3325	758021
Guyana	GUY	2000	7649.9497	759059
Guyana	GUY	2001	7816.526	759816
Guyana	GUY	2002	7899.7144	760326
Guyana	GUY	2003	7847.303	760569
Guyana	GUY	2004	7971.4307	760428
Guyana	GUY	2005	7823.2676	759713
Guyana	GUY	2006	8239.125	758376
Guyana	GUY	2007	8853.17	756528
Guyana	GUY	2008	9036.885	754159
Guyana	GUY	2009	9399.297	751265
Guyana	GUY	2010	9831.81	747937
Guyana	GUY	2012	10946.455	743970
Guyana	GUY	2013	11293.949	747424
Guyana	GUY	2014	11427.873	751126
Guyana	GUY	2015	11446.764	755043
Guyana	GUY	2016	11819.155	759097
Guyana	GUY	2017	12193.622	763265
Guyana	GUY	2018	12374.22	785518
Guyana	GUY	2019	12820.489	798761
Guyana	GUY	2020	18430.57	797207
Guyana	GUY	2021	21925.188	804571
Haiti	HTI	2007	2987.1301	9420832
Haiti	HTI	2008	3017.0747	9575251
Haiti	HTI	2009	3143.7734	9730646
Haiti	HTI	2010	2932.279	9842883
Haiti	HTI	2012	3015.8586	10108541
Haiti	HTI	2013	3099.4773	10261205
Haiti	HTI	2021	2870.145	11447575
Honduras	HND	1990	3912.7021	5053235
Honduras	HND	1991	3678.262	5196892
Honduras	HND	1992	3793.7112	5344774
Honduras	HND	1993	3928.3718	5496843
Honduras	HND	1994	3827.9932	5652937
Honduras	HND	1995	3953.1025	5812836
Honduras	HND	1999	3886.9856	6477370
Honduras	HND	2000	4058.0288	6656727
Honduras	HND	2001	4058.1116	6837861
Honduras	HND	2002	4101.277	7019912
Honduras	HND	2003	4179.423	7201883
Honduras	HND	2004	4330.7393	7383408
Honduras	HND	2005	4482.758	7564615
Honduras	HND	2006	4665.767	7745204
Honduras	HND	2007	4842.423	7924462
Honduras	HND	2008	4936.869	8101776
Honduras	HND	2009	4714.679	8277309
Honduras	HND	2010	4790.1094	8450936
Honduras	HND	2012	4978.074	8792370
Honduras	HND	2013	5020.937	8960654
Hong Kong	HKG	1990	28797.69	5838573
Hong Kong	HKG	1991	30188.373	5923453
Hong Kong	HKG	1992	31802.443	6007690
Hong Kong	HKG	1993	33199.344	6089809
Hong Kong	HKG	1994	34419.348	6168709
Hong Kong	HKG	1995	34545.53	6243859
Hong Kong	HKG	1996	34452.99	6333446
Hong Kong	HKG	1997	35909.793	6441245
Hong Kong	HKG	1998	33516.355	6546051
Hong Kong	HKG	1999	34029.938	6641959
Hong Kong	HKG	2000	36316.242	6731195
Hong Kong	HKG	2001	36251.758	6801538
Hong Kong	HKG	2002	36689.49	6848847
Hong Kong	HKG	2003	37885.547	6886463
Hong Kong	HKG	2004	40861.684	6915997
Hong Kong	HKG	2005	43689.34	6936872
Hong Kong	HKG	2006	46462.46	6960600
Hong Kong	HKG	2007	49042.777	7001452
Hong Kong	HKG	2008	49787.645	7050673
Hong Kong	HKG	2009	48458.87	7094600
Hong Kong	HKG	2010	51359.81	7132437
Hong Kong	HKG	2012	53783.945	7234062
Hong Kong	HKG	2013	55229.605	7296820
Hungary	HUN	1991	16429.701	10374750
Hungary	HUN	1992	15932.5	10370067
Hungary	HUN	1993	15858.785	10357423
Hungary	HUN	1994	16348.531	10342435
Hungary	HUN	1995	16615.162	10327171
Hungary	HUN	1996	16657.443	10308272
Hungary	HUN	1997	17215.654	10286223
Hungary	HUN	1998	17928.734	10260965
Hungary	HUN	1999	18531.75	10230263
Hungary	HUN	2000	19412.184	10202054
Hungary	HUN	2001	20249.447	10177955
Hungary	HUN	2002	21270.012	10148404
Hungary	HUN	2003	22200.104	10118060
Hungary	HUN	2004	23362.812	10094499
Hungary	HUN	2005	24414.582	10073533
Hungary	HUN	2006	25417.547	10057063
Hungary	HUN	2007	25527.564	10041171
Hungary	HUN	2008	25829.033	10023508
Hungary	HUN	2009	24162.268	10008581
Hungary	HUN	2010	24477.576	9986832
Hungary	HUN	2012	24820.516	9922133
Hungary	HUN	2013	25337.588	9894637
Hungary	HUN	1990		10375989
Iceland	ISL	1995	33666.18	267689
Iceland	ISL	1996	35014.2	269140
Iceland	ISL	1997	36732.934	271363
Iceland	ISL	1998	39017.438	274292
Iceland	ISL	1999	40103.867	277634
Iceland	ISL	2000	41530.516	281469
Iceland	ISL	2001	42626.92	285245
Iceland	ISL	2002	42484.516	287799
Iceland	ISL	2005	48104.652	297037
Iceland	ISL	2006	49956.848	304086
Iceland	ISL	2007	52827.01	311859
Iceland	ISL	2008	52999.438	317722
Iceland	ISL	2009	48770.95	318809
Iceland	ISL	2010	47457.62	318346
Iceland	ISL	2012	48440.254	320988
Iceland	ISL	2013	50168.688	324036
Iceland	ISL	1994		266230
India	IND	1990	1819.0216	870452160
India	IND	1991	1800.0109	888941760
India	IND	1992	1859.7148	907574080
India	IND	1993	1908.5782	926351296
India	IND	1994	1994.944	945261952
India	IND	1995	2103.727	964279104
India	IND	1996	2218.8245	983281216
India	IND	1997	2264.7957	1002335232
India	IND	1998	2359.8926	1021434560
India	IND	1999	2521.5767	1040500032
India	IND	2000	2571.1497	1059633664
India	IND	2001	2646.8782	1078970880
India	IND	2002	2699.1782	1098313088
India	IND	2003	2861.5747	1117415168
India	IND	2004	3037.0637	1136264576
India	IND	2005	3225.5444	1154638720
India	IND	2006	3432.8193	1172373760
India	IND	2007	3642.0024	1189691776
India	IND	2008	3701.3955	1206734848
India	IND	2009	3937.2375	1223640192
India	IND	2010	4213.363	1240613632
India	IND	2012	4551.8623	1274487168
India	IND	2013	4780.12	1291132032
Indonesia	IDN	1998	5474.5977	207855488
Indonesia	IDN	1999	5435.7554	210996912
Indonesia	IDN	2000	5621.262	214072416
Indonesia	IDN	2003	6121.666	223080128
Indonesia	IDN	2004	6348.2944	225938592
Iran	IRN	2009	14473.833	74322688
Iran	IRN	2013	14113.458	78458928
Iraq	IRQ	1990	7449.4717	17658384
Iraq	IRQ	1991	2650.087	17846384
Iraq	IRQ	1992	3410.7405	18385682
Iraq	IRQ	1993	4234.2407	19295822
Iraq	IRQ	1994	4190.641	20248074
Iraq	IRQ	2008	7955.6963	29218384
Iraq	IRQ	2009	7933.8213	30289044
Iraq	IRQ	2010	8178.305	31264880
Iraq	IRQ	2012	9251.982	33864452
Iraq	IRQ	2013	9503.875	35481804
Ireland	IRL	1990	26706.256	3485370
Ireland	IRL	1991	27065.535	3504806
Ireland	IRL	1992	27780.229	3528370
Ireland	IRL	1993	28386.002	3545700
Ireland	IRL	1994	29901.75	3559396
Ireland	IRL	1995	32614.967	3579486
Ireland	IRL	1996	34745.805	3606725
Ireland	IRL	1997	38190.5	3640157
Ireland	IRL	1998	41107.3	3678670
Ireland	IRL	1999	44926.527	3719918
Ireland	IRL	2000	48500.348	3768954
Ireland	IRL	2001	50266.957	3829019
Ireland	IRL	2002	52342.86	3894256
Ireland	IRL	2003	53049.168	3958706
Ireland	IRL	2004	55623.887	4031961
Ireland	IRL	2005	57548.996	4121220
Ireland	IRL	2006	58812.305	4234809
Ireland	IRL	2007	60170.418	4359841
Ireland	IRL	2008	56312.504	4452393
Ireland	IRL	2009	52902.887	4499797
Ireland	IRL	2010	53500.914	4524581
Ireland	IRL	2012	53482.2	4564550
Ireland	IRL	2013	53800.207	4588830
Isle of Man	IMN	2011		84360
Isle of Man	IMN	2012		84352
Isle of Man	IMN	2013		84167
Isle of Man	IMN	2014		83916
Isle of Man	IMN	2015		83614
Isle of Man	IMN	2016		83472
Israel	ISR	1995	26668.62	5478738
Israel	ISR	1996	27520.047	5612491
Israel	ISR	1997	27858.4	5743280
Israel	ISR	1998	28349.146	5869504
Israel	ISR	1999	28556.795	5994091
Israel	ISR	2000	30223.883	6116955
Israel	ISR	2001	29618.418	6237984
Israel	ISR	2002	28994.697	6356697
Israel	ISR	2003	28872.818	6475917
Israel	ISR	2004	29724.146	6595990
Israel	ISR	2005	30412.078	6714119
Israel	ISR	2006	31547.232	6832082
Israel	ISR	2007	32861.67	6952007
Israel	ISR	2008	33332.59	7074530
Israel	ISR	2009	32832.73	7199704
Israel	ISR	2010	34065.844	7328439
Israel	ISR	2012	35552.85	7592099
Israel	ISR	2013	36436.383	7726675
Israel	ISR	1990		4803255
Israel	ISR	1991		4942821
Israel	ISR	1992		5079388
Israel	ISR	1993		5213005
Israel	ISR	1994		5346294
Italy	ITA	1990	36585.68	56756560
Italy	ITA	1991	37122.82	56794488
Italy	ITA	1992	37407.11	56833184
Italy	ITA	1993	37065.434	56869456
Italy	ITA	1994	37855.008	56883820
Italy	ITA	1995	38947.203	56885124
Italy	ITA	1996	39429.496	56898972
Italy	ITA	1997	40129.902	56925808
Italy	ITA	1998	40844.746	56938736
Italy	ITA	1999	41501.79	56945064
Italy	ITA	2000	43053.934	56966400
Italy	ITA	2001	43869.43	56994992
Italy	ITA	2002	43915.387	57107576
Italy	ITA	2005	44260.83	58199876
Italy	ITA	2006	44918.17	58429904
Italy	ITA	2007	45356.535	58778480
Italy	ITA	2008	44623.6	59224228
Italy	ITA	2009	42074.92	59562844
Italy	ITA	2010	42664.355	59822452
Italy	ITA	2012	41501.71	60190152
Italy	ITA	2013	40268.113	60312600
Jamaica	JAM	1990	8692.502	2392035
Jamaica	JAM	1991	9038.113	2411869
Jamaica	JAM	1992	9128.912	2434580
Jamaica	JAM	1993	9889.122	2459064
Jamaica	JAM	1994	9924.545	2484186
Jamaica	JAM	1995	10055.8	2509369
Jamaica	JAM	1996	9951.085	2532895
Jamaica	JAM	1997	9752.657	2554952
Jamaica	JAM	1998	9445.078	2576569
Jamaica	JAM	1999	9471.599	2596276
Jamaica	JAM	2000	9496.543	2612203
Jamaica	JAM	2001	9575.876	2625410
Jamaica	JAM	2002	9719.603	2638248
Jamaica	JAM	2003	10027.369	2651034
Jamaica	JAM	2004	10110.535	2664027
Jamaica	JAM	2005	10151.977	2676868
Jamaica	JAM	2006	10396.593	2689658
Jamaica	JAM	2007	10500.334	2701222
Jamaica	JAM	2008	10376.103	2711378
Jamaica	JAM	2009	9885.024	2722405
Jamaica	JAM	2010	9700.027	2733904
Jamaica	JAM	2012	9715.208	2759819
Jamaica	JAM	2013	9718.625	2773134
Japan	JPN	1990	32846.39	123686320
Japan	JPN	1991	33870.375	124073992
Japan	JPN	1992	34048.785	124444696
Japan	JPN	1993	33782.734	124779576
Japan	JPN	1994	34053.523	125119264
Japan	JPN	1995	34867.582	125433968
Japan	JPN	1996	35878.79	125726224
Japan	JPN	1997	36144.617	126027984
Japan	JPN	1998	35588.625	126308392
Japan	JPN	1999	35405.082	126555064
Japan	JPN	2000	36323.094	126803864
Japan	JPN	2001	36375.586	127065736
Japan	JPN	2002	36306.332	127301744
Japan	JPN	2003	36784.883	127502352
Japan	JPN	2004	37576.39	127671288
Japan	JPN	2005	38250.637	127798376
Japan	JPN	2006	38751.004	127902168
Japan	JPN	2007	39280.895	128006424
Japan	JPN	2008	38781.2	128077632
Japan	JPN	2009	36577.863	128117040
Japan	JPN	2010	38069.957	128105432
Japan	JPN	2012	38735.895	127853688
Japan	JPN	2013	39569.637	127678920
Jordan	JOR	1990	8127.6265	3480591
Jordan	JOR	1991	7839.8735	3666384
Jordan	JOR	1992	8500.025	3866894
Jordan	JOR	1993	8426.271	4075763
Jordan	JOR	1994	8426.701	4278165
Jordan	JOR	1995	8587.847	4458201
Jordan	JOR	1996	8480.817	4608685
Jordan	JOR	1997	8530.064	4733666
Jordan	JOR	2007	11028.3125	6473460
Jordan	JOR	2008	11540.403	6632880
Jordan	JOR	2009	11856.289	6780508
Jordan	JOR	2010	11866.881	6931263
Jordan	JOR	2012	12001.99	7211866
Jordan	JOR	2013	11542.293	7694818
Kazakhstan	KAZ	1990	13475.64	16866574
Kazakhstan	KAZ	1991	11917.714	16993796
Kazakhstan	KAZ	1992	11294.736	17043420
Kazakhstan	KAZ	1993	10292.198	16979700
Kazakhstan	KAZ	1994	9126.256	16747153
Kazakhstan	KAZ	1995	8552.452	16434323
Kazakhstan	KAZ	1996	8726.538	16144248
Kazakhstan	KAZ	1997	9016.003	15820435
Kazakhstan	KAZ	1998	8998.901	15474257
Kazakhstan	KAZ	1999	9330.564	15256256
Kazakhstan	KAZ	2000	10275.762	15236256
Kazakhstan	KAZ	2001	11682.842	15281288
Kazakhstan	KAZ	2002	12827.231	15338962
Kazakhstan	KAZ	2003	13973.078	15416709
Kazakhstan	KAZ	2004	15208.44	15521921
Kazakhstan	KAZ	2008	19770.217	16196521
Kazakhstan	KAZ	2009	19614.734	16402365
Kazakhstan	KAZ	2010	20751.258	16627839
Kazakhstan	KAZ	2012	22702.578	17102868
Kazakhstan	KAZ	2013	23720.816	17345734
Kenya	KEN	2004	3306.79	34791836
Kenya	KEN	2005	3399.404	35843016
Kenya	KEN	2006	3513.3484	36925260
Kenya	KEN	2007	3644.335	38036796
Kenya	KEN	2008	3545.5935	39186896
Kenya	KEN	2009	3555.9883	40364448
Kenya	KEN	2010	3735.793	41517896
Kenya	KEN	2012	3899.167	43725808
Kiribati	KIR	1991	2005.5131	76627
Kiribati	KIR	1992	1989.6298	77922
Kiribati	KIR	1993	1976.6847	79110
Kiribati	KIR	1994	1981.4297	80280
Kiribati	KIR	1995	1951.8351	81497
Kiribati	KIR	1996	1952.5427	82848
Kiribati	KIR	1997	1950.3318	84319
Kiribati	KIR	1998	2041.9646	85817
Kiribati	KIR	1999	1976.3684	87309
Kiribati	KIR	2000	2063.556	88840
Kiribati	KIR	2001	1994.9175	90543
Kiribati	KIR	2008	1895.8898	103981
Kiribati	KIR	2009	1874.5094	106011
Kiribati	KIR	2010	1819.2013	108011
